"PAN, Solicitation, or Contract Number
","If Follow-on, Provide Current Contract Number",Description of Requirement ,Consolidation Anticipated?,Bundling Anticipated?,Forecasted contract value,Forecasted_PSC,Anticipated NAICS ,"Anticipated Type of Set Aside 
or Unknown",PROCACT,"Indefinite Delivery Vehicle Type (for task/delivery orders) 
or Unknown","Anticipated Contract Type 
or Unknown",Anticipated Solicitation Date,Anticipated Solicitation Closing Date,Forecasted Award Date,Period of Performance,Contracting Office,Contracting Office,Requiring Activity Office ,Assigned Small Business Office ,Assigned Small Business Office Email
W90VN9-25-R-A001,,"CN/Demolish B#1330, BSF/at13chk",,,$250K to $1M,Z2GZ,,,CONTR,,Firm Fixed Price,11/25/2024,12/24/2024,12/23/2024,2,ACC OO,411TH CSB,AMC: IMCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANAPG-24-P-0000 019377,,PPMT #7847 - MFEW Production DO 0001,,,$10M to $25M,5865,,,DO NEG,,Cost Plus Fixed Fee,6/11/2025,12/3/2024,2/7/2025,12,ACC CTRS,ACC-APG,PEO IEWS,ACC OSBP - APG,https://osbp.apg.army.mil
W912CH-24-R-0166,,"EH4C0115EH 008978755 RACK,STORAGE,SMALLA",No,No,$25K to $250K,1095,332994,,CONTR,,Firm Fixed Price,11/29/2024,12/30/2024,11/29/2024,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANORL-21-P-0000 001785,,CAA - Test,,,$10M to $25M,N/A,,,CONTR,,Cost Plus Fixed Fee,,,,60,ACC CTRS,ACC-ORL,PEO STRI,ACC OSBP - ORL,usarmy.orlando.peo-stri.list.office-of-small-business-programs@army.mil
W56HZV-24-F-0225,,Mitsubishi Cargo Truck,,,$5M to $10M,2355,,,DO,,Firm Fixed Price,,,,3,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-24-P-0000 024774,47QRAD20D1014,AvCDID support for ACM and CEAD Experimentation an,,,$10M to $25M,R499,,,DO NEG,IDC,Firm Fixed Price,5/9/2025,6/11/2025,9/13/2025,56,MICC,FDO EUSTIS,AFC: FCC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-24-P-0000 020845,W9124D19D0001,FY25 R&I TO ,,,$25M to $50M,R701,,,DO NEG,IDC,Cost Plus Fixed Fee,12/2/2024,12/4/2024,2/21/2025,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-24-P-0000 005391,W9124923F0091,FY25 - FXD CrossLab Service Plan_01 APR 2025,,,$250K to $1M,UNKNOWN,,,DO,,Firm Fixed Price,11/29/2024,,4/1/2025,12,MICC,FDO EUSTIS,USACIDC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANNWJ-24-P-0000 005197,,Volcano FMS Lithuania,,,$10M to $25M,1375,,,,,,,,9/12/2025,24,ACC CTRS,ACC-NJ,JPEO AA,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PAN414-25-P-0000 000035,,LIV - New Custodial Service at DMC-USAG Italy,,,$1M to $5M,S201,,,PO,,Firm Fixed Price,,,3/9/2025,60,ACC OO,414TH CSB,AMC: IMCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANMCC-25-P-0000 007171,,ASA Spiral 4 Contract,,,$25K to $250K,DE11,,,DO,,Firm Fixed Price,12/9/2024,12/16/2024,12/3/2024,60,MICC,FDO EUSTIS,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W91151-25-Q-0007,,Fort Cavazos Musician Services ,No,No,$250K to $1M,R499,711130,,CONTR,,Firm Fixed Price,11/27/2024,12/13/2024,12/23/2024,12,MICC,418TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W912CH-24-R-0175,W56HZV20D0012,Corrosion and Prevention Services - SB Set Aside,,,$10M to $25M,AC11,,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,,Firm Fixed Price,,,,60,ACC CTRS,ACC-DTA,DOD,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-24-P-0000 023346,,30th AG BN (REC),,,$250K to $1M,UNKNOWN,,,CONTR,,Firm Fixed Price,2/14/2025,3/14/2025,1/20/2025,TBD,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANAPG-22-P-0000 016755,,JE OPETS II,,,≥ $250M,R499,,,CONTR,,Firm Fixed Price,,,,60,ACC CTRS,ACC-APG,JPEO CBRND,ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-25-P-0000 008791,,FY25- SIAD- Landfill Support Exercise CLINs MOD 3-,,,$250K to $1M,F999,,,,,,,,12/6/2024,12,MICC,FDO FSH,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W5168W-25-R-0001,W911SF19C0024,Fort Moore BASOPS,No,No,≥ $250M,S216,561210,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,,Firm Fixed Price,5/19/2025,7/16/2025,11/7/2025,60,MICC,FDO FSH,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANAPG-25-P-0000 001484,,"PEO #16524, MOD to add funding for ATO/RMF",,,≥ $250M,5825,,,,,,,,11/29/2024,42,ACC CTRS,ACC-APG,PEO IEWS,ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-25-P-0000 008511,,BLPO-BO-TO-2024.12.31-2024.12.31,,,$1M to $5M,S216,,,,,,,,12/1/2024,1,MICC,418TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANAPG-24-P-0000 006913,,MAPS,,,< $25K,UNKNOWN,,,CONTR,,Cost Plus Fixed Fee,,,,60,ACC CTRS,ACC-APG,"HQ, AMC",ACC OSBP - APG,https://osbp.apg.army.mil
PANDTA-25-P-0000 004859,,MTV- Program and Log Mgmt for 12 months,,,$5M to $10M,2355,,,,,,,,1/10/2025,12,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W58RGZ-25-R-0032,,AX3F2283AX 012872438 New 5yr IDIQ ,No,No,$250K to $1M,3040,333613,,CONTR,,Firm Fixed Price,,,3/7/2025,60,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANAPG-25-P-0000 002290,,3KW Rebuy Price adjustment W909MY-22-D-0001,,,< $25K,6115,,,,,,,,12/4/2024,12,ACC CTRS,ACC-APG,PEO CS AND CSS,ACC OSBP - APG,https://osbp.apg.army.mil
W91QF0-25-Q-6002,,USAHEC Book BPA,,,$25K to $250K,7610,,,BPA,,Firm Fixed Price,1/29/2025,2/12/2025,3/14/2025,60,MICC,FDO EUSTIS,USAWC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-25-P-0000 006411,W9124922D0007,C-CDID NETWORK & SERVICE (N&S) BY_16 JAN 2025,No,No,$10M to $25M,N/A,541330,8A COMPETED,CONTR,,Firm Fixed Price,12/10/2024,12/20/2024,1/16/2025,TBD,MICC,FDO EUSTIS,AFC: FCC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANDTA-24-P-0000 003816,,Transfer of Excess Retrofit GFM - ABR Warehouse,,,< $25K,2540,,,CONTR,,Firm Fixed Price,,,,TBD,ACC CTRS,ACC-DTA,PEO GCS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W15QKN-24-D-5012 9994,,"T.O. to OY4 - SNOW - Reading, PA",,,< $25K,S218,,,DO,,Firm Fixed Price,,,,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANRSA-24-P-0000 004474,,RS Means Software,,,$25K to $250K,7C21,,,CONTR,,Firm Fixed Price,11/22/2024,11/29/2024,1/6/2025,60,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W9124D-25-R-0057,,Caisson _Temporary Structure,No,No,$250K to $1M,Y1JZ,236220,,CONTR,,Firm Fixed Price,11/27/2024,12/2/2024,12/16/2024,12,MICC,FDO FSH,MDW,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANDTA-22-P-0000 007692,,TFDS First DO (Production Contract),,,$10M to $25M,4930,,,DO,,Fixed Price with Economic Price Adjustment,12/2/2024,,12/19/2024,12,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W91QV1-25-F-9914,,BASOPS _FE-24123-24J_Bring BLDG online.,,,< $25K,M1AZ,,,DO,,Firm Fixed Price,11/25/2024,,12/6/2024,4,MICC,FDO FSH,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W56HZV-24-R-0035,,Abrams ILS Fielding Support Services,No,No,≥ $250M,2590,336992,,CONTR,,Cost Plus Fixed Fee,3/28/2025,6/11/2025,1/30/2026,TBD,ACC CTRS,ACC-DTA,PEO GCS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-24-P-0000 022161,,PCC5 Rental/Lease of Tent Dividers,,,$25K to $250K,W099,,,CONTR,,Firm Fixed Price,12/3/2024,12/17/2024,12/31/2024,3,MICC,418TH CSB,"HQ, AFC",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W911W4-10-D-0006 0003,,FEDERAL ACQUISITIONS STRATEGIES,,,< $25K,N/A,,,DO NEG,,Firm Fixed Price,,,,12,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANAPG-24-P-0000 002989,,TASK ORDER A  JPM P,No,No,$10M to $25M,R499,541611,,DO NEG,,Firm Fixed Price,,,8/25/2025,12,ACC CTRS,ACC-APG,JPEO CBRND,ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-24-P-0000 022202,,FY25 PPI Lanyards IDIQ,,,$10M to $25M,8405,,,CONTR,,Firm Fixed Price,2/28/2025,3/31/2025,9/13/2025,60,MICC,FDO FSH,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W91247-25-R-JB01,,FA-17503-25 Repair Twin Lions Pool,,,$25K to $250K,Z2FB,,,CONTR,,Firm Fixed Price,,,1/6/2025,1,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W91QVN-25-F-0025,,SV/Electric/Navy-CFAC/cn13ysk,,,$250K to $1M,S112,,,DO,,Firm Fixed Price,12/31/2024,,,TBD,ACC OO,411TH CSB,NAVY,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANDTA-25-P-0000 003394,,Right Click Tools Software,,,< $25K,DC10,,,PO,,Firm Fixed Price,,,1/2/2025,12,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W912CH-25-R-L025,,Build to Print WBE ,,,$1M to $5M,2590,,,DO NEG,,Firm Fixed Price,11/27/2024,12/5/2024,11/29/2024,12,ACC CTRS,ACC-DTA,AFC: CCDC,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W58RGZ-25-B-0011,,PRID CB686  PRON AX4M3508AX IDIQ NIIN: 01-533-8587,,,$1M to $5M,1680,,,CONTR,,Firm Fixed Price,5/13/2025,5/27/2025,11/28/2025,60,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANAPG-19-P-0000 012703,,4608 | Aerostats 10 Year Multiple Award Contract,Yes,No,≥ $250M,J010,541330_a_Except,,CONTR,,Cost Plus Fixed Fee,12/16/2024,12/16/2024,,120,ACC CTRS,ACC-APG,PEO IEWS,ACC OSBP - APG,https://osbp.apg.army.mil
PANDTA-25-P-0000 000834,,"DRK, P13, Tescan Opt 4",,,$25K to $250K,6650,,,,,,,,3/22/2025,12,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANDTA-25-P-0000 003084,,"MTV - Revise Attachment 0022 - Waivers,RFV & ECPs ",,,< $25K,2355,,,,,,,,11/25/2024,12,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PAN409-25-P-0000 001460,,MAINTENANCE AND REPAIR OF SPECIAL PURPOSE VEHICLES,,,$250K to $1M,J023,,,,,,,,11/27/2024,4,ACC OO,409TH CSB,AMC: ASC,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W519TC-25-Q-COAT,,CAAA FY25 Phenolic Coating,No,No,$250K to $1M,3426,332812,,CONTR,,Firm Fixed Price,12/2/2024,1/10/2025,5/1/2025,6,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W91QV1-25-F-9918,,BASOPS_BFB-24163_B214_Seal Holes in Rooms.,,,< $25K,M1AZ,,,DO,,Firm Fixed Price,11/25/2024,,12/6/2024,4,MICC,FDO FSH,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANAPG-25-P-0000 001870,,BOTAA Personal Air Mobility System,,,$1M to $5M,AJ14,,,OT-P,,Firm Fixed Price,,,12/2/2024,12,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-25-P-0000 002651,,de-obligation 24-040,,,< $25K,N/A,,,,,,,,11/29/2024,1,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W9124D-25-R-0025,47QTCH18D0046,(FY25) PEDSS Follow-On NOV 24,No,No,$10M to $25M,DC01,541512,SERVICE DISABLED VETERAN OWNED SMALL BUSINESS SET-ASIDE,DO NEG,GWAC,Firm Fixed Price,11/22/2024,12/20/2024,3/4/2025,60,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W58RGZ-24-R-0164,,Saudi SANG Mode 5 NRE and Level 1 Upgrade,,,$10M to $25M,1520,,,CONTR,,Firm Fixed Price,10/29/2024,12/5/2024,8/29/2025,48,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W519TC-25-T-2005,W519TC24P2121,FY 25 ProWatch EUSSA ,,,$25K to $250K,H363,,NO SET ASIDE USED.,PO,,Firm Fixed Price,11/4/2024,12/9/2024,12/9/2024,12,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PAN413-24-P-0000 001475,,SVC- FY25 Grease Trap Renewal Contract ,,,< $25K,N/A,,,CONTR,,Firm Fixed Price,,,8/24/2025,12,ACC OO,413TH CSB,AMC: IMCOM,ACC OSBP - 413th,usarmy.redstone.acc.mbx.acc-sb@army.mil
W91247-24-R-RB12,,RFA 1933-24 FB-90019-25 Cnstrct Prking Lot Lights,,,$25K to $250K,S112,,,DO,,Firm Fixed Price,6/7/2024,,1/3/2025,12,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W56KGU-25-2-0025,,FY25 APEX Award - Johnstown Area Regional Ind,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
W9124D-25-R-0054,,11th-Little Rock-AMS-New,,,$1M to $5M,R408,,,DO NEG,,Firm Fixed Price,1/6/2025,2/4/2025,2/28/2025,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-25-P-0000 002781,,de-obligation RTOP 24-112,,,< $25K,N/A,,,,,,,,12/6/2024,1,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W15QKN-23-F-5250,,GW B-91 REPLACE TREMCO ROOF SECTIONS,No,No,$25K to $250K,Z2AA,236220,,DO NEG,,Firm Fixed Price,,,,4,ACC CTRS,ACC-NJ,AMC: IMCOM,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANAPG-24-P-0000 017239,,Automation and Communication Support Services ,,,$250K to $1M,L069,,,CONTR,,Firm Fixed Price,11/14/2024,11/29/2024,5/3/2025,66,ACC CTRS,ACC-APG,AMC: IMCOM,ACC OSBP - APG,https://osbp.apg.army.mil
PANDTA-25-P-0000 000047,,"WO23OD006-Install Racer VTL Foundations, Bldg 20",,,$1M to $5M,Z2EC,,,CONTR,,Firm Fixed Price,12/16/2024,1/15/2025,12/2/2024,4,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-24-P-0000 021489,,PCC5 Rental/Lease_Tents and Solar Panel Light Towe,,,$1M to $5M,W083,,,CONTR,,Firm Fixed Price,12/11/2024,1/10/2025,12/31/2024,3,MICC,418TH CSB,"HQ, AFC",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANDTA-24-P-0000 008680,,OASIS Professional Technical Support Services,,,< $25K,R425,,,DO NEG,,Firm Fixed Price,,,,60,ACC CTRS,ACC-DTA,PEO GCS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANRSA-25-P-0000 005973,,Sentinel A4 ES Task Order 3 Increment Funding Mod,,,$1M to $5M,R425,,,,,,,,12/5/2024,8,ACC CTRS,ACC-RSA,PEO MS,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W31P4Q-25-F-0039,,Sielman UKR Task Order  5,,,$10M to $25M,J059,,,DO,,Firm Fixed Price,11/18/2024,,12/31/2024,60,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANAPG-25-P-0000 002503,,84457-SM-II (New Start),,,$25K to $250K,AJ11,,,,,Cost No Fee,,,12/16/2024,9,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
PANAPG-25-P-0000 002656,,3kw Rebuy W909MY-22-D-0001 Yanmar Kits,,,< $25K,6115,,,,,,,,12/6/2024,12,ACC CTRS,ACC-APG,PEO CS AND CSS,ACC OSBP - APG,https://osbp.apg.army.mil
W5168W-25-D-0001,,Fort Liberty - Dining Facility Attendant,,,$25M to $50M,S203,,,CONTR,,Firm Fixed Price,11/13/2024,12/13/2024,1/31/2025,60,MICC,FDO FSH,AMC: ASC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANRSA-25-P-0000 000499,,MariaDB,,,$25K to $250K,UNKNOWN,,,,,,,,2/7/2025,TBD,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANMCC-25-P-0000 007236,,MCTP CIO Routers,,,$25K to $250K,7B22,,,DO,,Firm Fixed Price,12/30/2024,1/9/2025,12/6/2024,1,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANORL-25-P-0000 000598,,CTT_DIME-No Cost Extension PH1,,,$1M to $5M,N/A,,,,,,,,12/5/2024,12,ACC CTRS,ACC-ORL,PEO STRI,ACC OSBP - ORL,usarmy.orlando.peo-stri.list.office-of-small-business-programs@army.mil
W15QKN-25-D-0003,,AHTS and PIKS Offeror B,,,$25M to $50M,2541,,,CONTR,,Firm Fixed Price,,,,60,ACC CTRS,ACC-NJ,PEO SOLDIER,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANMCC-25-P-0000 007161,,DPW- Rpl one Cond unit B.8063 FSGA(EZ-13-4J),,,$25K to $250K,Z2AZ,,,DO,,Firm Fixed Price,11/27/2024,,12/13/2024,2,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANAPG-25-P-0000 002466,,84148-TE-RIP (New Start),,,$250K to $1M,AJ11,,,GRANT,,Cost No Fee,,,12/6/2024,12,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
W911S2-25-P-0012,,S2P2 - Ft McCoy - Law Enforcement UTVs ,,,$25K to $250K,2310,,,PO,,Firm Fixed Price,12/12/2024,12/12/2024,,1,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANROC-24-P-0000 009139,,CDAO - AI TALENT 2.0 - BOA - MEUCCI & COMPANY,,,< $25K,R425,,,BPA,,Order Dependent,10/7/2024,,11/29/2024,48,ACC CTRS,ACC-RI,CDAO,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANRSA-24-P-0000 011077,,"Graphic, Photography and Video Support Services",,,$1M to $5M,R408,,,,,,,,3/10/2025,60,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W911S2-25-P-A011,,S2P2 - DPG - Digital Piston Pumps,,,< $25K,9999,,,PO,,Firm Fixed Price,1/3/2025,1/3/2025,,1,MICC,419TH CSB,USATEC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANAPG-25-P-0000 002719,,W91RUS20C0033:   ULO:  Dormant LOA,,,< $25K,N/A,,,,,,,,1/1/2025,12,ACC CTRS,ACC-APG,TRADOC,ACC OSBP - APG,https://osbp.apg.army.mil
PANNWJ-24-P-0000 004009,,M86 Projectile Bruster,,,$5M to $10M,N/A,,,CONTR,,Firm Fixed Price,,,12/5/2025,12,ACC CTRS,ACC-NJ,JPEO AA,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANROC-25-P-0000 002419,,InfoBlox License Procurement - CHESS,No,No,$25K to $250K,DJ01,513210,,DO,,Firm Fixed Price,11/26/2024,12/10/2024,1/13/2025,12,ACC CTRS,ACC-RI,"HQ, DA",ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANNWJ-25-P-0000 000096,,JOC B Recompete,,,$25M to $50M,Z1AA,,,CONTR,,Firm Fixed Price,1/13/2025,2/13/2025,1/1/2025,60,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PAN409-24-P-0000 002737,,"Maintenance Contract, Service, OP2 DUL,GE",,,$250K to $1M,Z1EB,,,DO,,Firm Fixed Price,,,4/2/2025,12,ACC OO,409TH CSB,AMC: IMCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W56KGU-25-2-0012,,FY25 APEX Award - District of Columbia Government,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
PANDTA-25-P-0000 002199,,G6-Satelite Television Service - Nolan Bldg. FY25,,,$25K to $250K,DD01,,,,,Firm Fixed Price,,,5/30/2025,12,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W912PF-25-Q-A006,,1151 ALFS 25 Venue,,,$250K to $1M,X1AB,,,PO,,Firm Fixed Price,12/12/2024,12/30/2024,2/28/2025,1,ACC OO,414TH CSB,USAREUR-AF,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANAPG-25-P-0000 000418,,NGC2 Prototype,,,$25M to $50M,N/A,,,CONTR,,Firm Fixed Price,,,2/21/2025,24,ACC CTRS,ACC-APG,PEO C3T,ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-25-P-0000 001011,W52P1J20D0049,Aruba License and Maintenance (Support for WLAN) ,,,$25K to $250K,7H20,,,DO NEG,,Firm Fixed Price,12/6/2024,12/20/2024,3/24/2025,12,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANDTA-25-P-0000 003574,,Honeywell FSE OCONUS - Poland,,,$10M to $25M,2835,,,,,,,,2/28/2025,6,ACC CTRS,ACC-DTA,PEO GCS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W912PB-25-R-3003,W912PB22D3015,07/01/25 Environmental Laboratory Analysis,,,$250K to $1M,B510,,NO SET ASIDE USED.,CONTR,,Firm Fixed Price,12/13/2024,1/17/2025,7/1/2025,60,ACC OO,409TH CSB,AMC: IMCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANMCC-25-P-0000 008576,W911SA20P3025,12218344 MN076 GRNDS BASE PLUS 4  2/1/2025,,,$25K to $250K,S208,,WOMEN OWNED SMALL BUSINESS,,,,,,4/1/2025,12,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W912CH-25-F-0060,,STS LCU SLEP ECP Main Engine New Lifting Provision,,,$25K to $250K,R425,,,DO NEG,,Firm Fixed Price,11/13/2024,,12/20/2024,6,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANRSA-24-P-0000 016568,,MWR Printer Maintenance 17 DEC 2024 - 29 SEP 2025,No,No,$25K to $250K,DD01,334111,,CONTR,,Firm Fixed Price,11/22/2024,11/26/2024,12/17/2024,9,ACC CTRS,ACC-RSA,AMC: IMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W911W4-04-D-0005 0106,,L3 Communications,,,$25K to $250K,N/A,,,DO NEG,,Cost Plus Fixed Fee,,,,3,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W50NH9-25-R-HHS1,W911W417D0006,DLITE II - HHS Re-compete (SSEB),No,No,≥ $250M,R608,541930,NO SET ASIDE USED.,CONTR,,Time and Materials,,,1/27/2025,60,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANNWJ-25-P-0000 001661,,WC864 Ball Powder - New Effort,,,< $25K,1025,,,,,Firm Fixed Price,,,7/1/2026,60,ACC CTRS,ACC-NJ,JPEO AA,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W912CH-24-R-0181,,"EH4L0298EH 016704331 GENERATOR,ENGINE AC",,,$1M to $5M,2920,,,CONTR,,Firm Fixed Price,1/10/2025,2/10/2025,5/15/2025,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-25-P-0000 009034,W912C320C0007,Fire Protection Maintenance & Repair Service ,,,$1M to $5M,J012,,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,,Firm Fixed Price,,,9/15/2025,60,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W56KGU-25-2-0093,,FY25 APEX Award - VT Dept Of Econ Housing and Comm,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
